country,description,duration,genre,language,public,score,title,top_cast,url,year
United States,The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.,23,"Animation,Adventure,Comedy",English,TV-MA,9.1,Rick and Morty,"Chris Parnell,Spencer Grammer,Sarah Chalke,Justin Roiland,Kari Wahlgren,Maurice LaMarche,Dan Harmon,Tom Kenny,Nolan North,Ryan Ridley,Brandon Johnson,Cassie Steele,Rob Schrab,Nick Reczynski,Ian Cardoni,Harry Belden,Keith David,Echo Kellum",https://www.imdb.com//title/tt2861424/?ref_=chttvtp_t_16,2013– 
Australia,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,7,"Animation,Family",English,TV-Y,9.4,Bluey,"David McCormack,Melanie Zanetti,Ninthe van Schie,Brad Elliott,Dan Brumm,Myf Warhurst,Meg Washington,Chris Brumm,Daley Pearson,Frederique Sims,Emily Taheny,Richard Jeffery,Leigh Sales,Francis Stanton,Kelly Butler,Hamish Blake,Anthony Field,Joff Bush",https://www.imdb.com//title/tt7678620/?ref_=chttvtp_t_15,2018– 
Japan,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,24,"Animation,Action,Adventure",Japanese,TV-14,9.1,Fullmetal Alchemist: Brotherhood,"Kent Williams,Iemasa Kayumi,Matthew Leonhart,Vic Mignogna,Romi Park,Muriel Hofmann,Lili Troncale,Rie Kugimiya,Maxey Whitehead,Travis Willingham,Shin'ichirô Miki,Colleen Clinkenbeard,Fumiko Orikasa,J. Michael Tatum,Kenta Miyake,Yûki Hayashi,Caitlin Glass,Monica Rial",https://www.imdb.com//title/tt1355642/?ref_=chttvtp_t_17,2009–2010
United Kingdom,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",0,"Documentary,History,War",English,TV-PG,9.2,The World at War,"Laurence Olivier,Averell Harriman,Anthony Eden,Albert Speer,Siegfried Westphal,Lawrence Durrell,Wynford Vaughan-Thomas,Louis Mountbatten,J. Lawton Collins,Toshikazu Kase,Hans Kehrl,Kenneth Strong,Kay Summersby,Walter Warlimont,Francis de Guingand,Christabel Bielenberg,J.R. Colville,Ursula Gray",https://www.imdb.com//title/tt0071075/?ref_=chttvtp_t_14,1973–1974
United States,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia.",55,"Action,Adventure,Drama",English,TV-MA,9.2,Game of Thrones,"Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,Sophie Turner,Maisie Williams,Nikolaj Coster-Waldau,Iain Glen,John Bradley,Alfie Allen,Conleth Hill,Liam Cunningham,Gwendoline Christie,Aidan Gillen,Isaac Hempstead Wright,Rory McCann,Nathalie Emmanuel,Jerome Flynn",https://www.imdb.com//title/tt0944947/?ref_=chttvtp_t_13,2011–2019
United Kingdom,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.,473,"Documentary,Family",English,TV-G,9.1,Life,"Oprah Winfrey,David Attenborough,Doug Allan,Roger Munns,Justine Evans,Barrie Britton,Kevin Flay,Michael Pitts,Stephen Lyle,Matthew Swarbrick,Nick Guy,Neil Lucas,Jonathan Smith,Doug Anderson,David Baillie,Adam Chapman,Martha Holmes,Rick Rosenthal",https://www.imdb.com//title/tt1533395/?ref_=chttvtp_t_18,2009
United States,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,45,"Crime,Drama,Thriller",English,TV-MA,9.5,Breaking Bad,"Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell",https://www.imdb.com//title/tt0903747/?ref_=chttvtp_t_1,2008–2013
United States,"Explores and unravels the mystery of how and why animals migrate, showing some of the most dramatic and compelling stories in the natural world through spectacular and innovative cinematography.",50,Documentary,English,TV-PG,9.3,Our Planet,David Attenborough,https://www.imdb.com//title/tt9253866/?ref_=chttvtp_t_12,2019–2023
United States,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,0,Documentary,English,TV-PG,9.3,Cosmos,"Carl Sagan,Jaromír Hanzlík,Jonathan Fahn,Jean Charney,Cecilia White,Bob Hevelone,Bill Grant,Linda Morabito,Victor C. John,Arthur 'Lonne' Lane,Larry Soderblom,Alan Belod,Ronald A. Hilbert,Dana Hlavácová,Josef Vinklár",https://www.imdb.com//title/tt0081846/?ref_=chttvtp_t_11,1980
United States,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",55,"Crime,Drama",English,TV-MA,9.2,The Sopranos,"James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,Steven Van Zandt,Robert Iler,Tony Sirico,Jamie-Lynn Sigler,Dominic Chianese,Aida Turturro,Steve Schirripa,Drea de Matteo,Dan Grimaldi,Joseph R. Gannascoli,Sharon Angela,John Ventimiglia,Vincent Curatola,Frank Vincent",https://www.imdb.com//title/tt0141842/?ref_=chttvtp_t_9,1999–2007
